PassengerId,Survived,Pclass,Sex,Age,Fare,FareLog,SibSp,Parch,FamilySize,FamilySizeBin,IsAlone,HasCabin,TicketGroupSize,AgeMissing,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mrs
31,0,1,0,40.0,27.7208,3.357621598945279,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,1,35.0,146.5208,4.993969182787072,1,0,2,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
33,1,3,1,21.0,7.75,2.169053700369523,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
34,0,2,0,66.0,10.5,2.4423470353692043,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0,1,0,28.0,82.1708,4.420896324687287,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1,0,42.0,52.0,3.970291913552122,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,1,3,0,30.0,7.2292,2.1076888046179385,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,3,0,21.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,0,3,1,18.0,18.0,2.9444389791664403,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
40,1,3,1,14.0,11.2417,2.5048481563289,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,0,3,1,40.0,9.475,2.348991465808201,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
42,0,2,1,27.0,21.0,3.091042453358316,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
43,0,3,0,30.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,2,1,3.0,41.5792,3.751365871125377,1,2,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,1,3,1,19.0,7.8792,2.1837114628556327,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,0,3,0,30.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
47,0,3,0,30.0,15.5,2.803360380906535,1,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
48,1,3,1,21.0,7.75,2.169053700369523,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
49,0,3,0,30.0,21.6792,3.121448204868825,2,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,3,1,18.0,17.8,2.933856869835904,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
51,0,3,0,7.0,39.6875,3.705920919968788,4,1,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0
52,0,3,0,21.0,7.8,2.174751721484161,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,1,1,1,49.0,76.7292,4.353230991152628,1,0,2,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
54,1,2,1,29.0,26.0,3.295836866004329,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55,0,1,0,65.0,61.9792,4.142804513146981,0,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,1,1,0,30.0,35.5,3.597312260588446,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
57,1,2,1,21.0,10.5,2.4423470353692043,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
58,0,3,0,28.5,7.2292,2.1076888046179385,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,2,1,5.0,27.75,3.3586377672433594,1,2,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
60,0,3,0,11.0,46.9,3.8691155044168695,5,2,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
61,0,3,0,22.0,7.2292,2.1076888046179385,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,1,1,38.0,80.0,4.394449154672439,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0
63,0,1,0,45.0,83.475,4.436455632600354,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
64,0,3,0,4.0,27.9,3.3638415951183864,3,2,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
65,0,1,0,30.0,27.7208,3.357621598945279,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,3,0,3.5,15.2458,2.7878344138303452,1,1,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
67,1,2,1,29.0,10.5,2.4423470353692043,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
68,0,3,0,19.0,8.1583,2.2146605719425225,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,1,3,1,17.0,7.925,2.188856327665703,4,2,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
70,0,3,0,26.0,8.6625,2.2682524139135403,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,0,2,0,32.0,10.5,2.4423470353692043,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,0,3,1,16.0,46.9,3.8691155044168695,5,2,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0
73,0,2,0,21.0,73.5,4.310799125385514,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,0,3,0,26.0,14.4542,2.737880811060884,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,3,0,32.0,56.4958,4.05171190165724,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,0,3,0,25.0,7.65,2.157559320943788,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
77,0,3,0,30.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
78,0,3,0,30.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
79,1,2,0,0.83,29.0,3.4011973816621555,0,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
80,1,3,1,30.0,12.475,2.600836116795061,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
81,0,3,0,22.0,9.0,2.302585092994046,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,1,3,0,29.0,9.5,2.3513752571634776,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,1,3,1,21.0,7.7875,2.1733302571367834,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
84,0,1,0,28.0,47.1,3.873282177111715,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,1,2,1,17.0,10.5,2.4423470353692043,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
86,1,3,1,33.0,15.85,2.8243506567983707,3,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
87,0,3,0,16.0,34.375,3.5660053559634015,1,3,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,0,3,0,30.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
89,1,1,1,23.0,263.0,5.575949103146316,3,2,6,2,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0
90,0,3,0,24.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,0,3,0,29.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,0,3,0,20.0,7.8542,2.180891922715322,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,0,1,0,46.0,61.175,4.1299529896894684,1,0,2,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
94,0,3,0,26.0,20.575,3.0715352369694915,1,2,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,0,3,0,59.0,7.25,2.1102132003465894,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,0,3,0,30.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
97,0,1,0,71.0,34.6542,3.57386695198272,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1,0,23.0,63.3583,4.164465907853638,0,1,2,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,1,2,1,34.0,23.0,3.1780538303479458,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
100,0,2,0,34.0,26.0,3.295836866004329,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,0,3,1,28.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
102,0,3,0,30.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
103,0,1,0,21.0,77.2875,4.360387947851531,0,1,2,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
104,0,3,0,33.0,8.6542,2.267393053825037,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,0,3,0,37.0,7.925,2.188856327665703,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,0,3,0,28.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,1,3,1,21.0,7.65,2.157559320943788,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
108,1,3,0,30.0,7.775,2.1719067693519296,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
109,0,3,0,38.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,1,3,1,21.0,24.15,3.224857896545748,1,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
111,0,1,0,47.0,52.0,3.970291913552122,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
112,0,3,1,14.5,14.4542,2.737880811060884,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,0,3,0,22.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,0,3,1,20.0,9.825,2.3818582738885534,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
115,0,3,1,17.0,14.4583,2.738146075922933,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,0,3,0,21.0,7.925,2.188856327665703,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,0,3,0,70.5,7.75,2.169053700369523,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,0,2,0,29.0,21.0,3.091042453358316,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,0,1,0,24.0,247.5208,5.515526544247129,0,1,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,0,3,1,2.0,31.275,3.4742929367327062,4,2,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0
121,0,2,0,21.0,73.5,4.310799125385514,2,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,0,3,0,30.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
123,0,2,0,32.5,30.0708,3.436268471383741,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,2,1,32.5,13.0,2.6390573296152584,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
125,0,1,0,54.0,77.2875,4.360387947851531,0,1,2,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
126,1,3,0,12.0,11.2417,2.5048481563289,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,0,3,0,30.0,7.75,2.169053700369523,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
128,1,3,0,24.0,7.1417,2.0969990034181696,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,1,3,1,21.0,22.3583,3.1509523813392697,1,1,3,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0
130,0,3,0,45.0,6.975,2.076311648670908,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,0,3,0,33.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,3,0,20.0,7.05,2.085672091430472,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,0,3,1,47.0,14.5,2.740840023925201,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
134,1,2,1,29.0,26.0,3.295836866004329,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
135,0,2,0,25.0,13.0,2.6390573296152584,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,0,2,0,23.0,15.0458,2.775447133088262,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1,1,1,19.0,26.2833,3.3062747934011893,0,2,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
138,0,1,0,37.0,53.1,3.990834185852436,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
139,0,3,0,16.0,9.2167,2.3240236363515288,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,0,1,0,24.0,79.2,4.384523514872469,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,0,3,1,35.0,15.2458,2.7878344138303452,0,2,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
142,1,3,1,22.0,7.75,2.169053700369523,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
143,1,3,1,24.0,15.85,2.8243506567983707,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
144,0,3,0,19.0,6.75,2.0476928433652555,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,0,2,0,18.0,11.5,2.5257286443082556,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,0,2,0,19.0,36.75,3.6309854756950335,1,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,1,3,0,27.0,7.7958,2.174274334826008,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,0,3,1,9.0,34.375,3.5660053559634015,2,2,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0
149,0,2,0,36.5,26.0,3.295836866004329,0,2,3,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
150,0,2,0,42.0,13.0,2.6390573296152584,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151,0,2,0,51.0,12.525,2.6045398247325453,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152,1,1,1,22.0,66.6,4.213607983048918,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1
153,0,3,0,55.5,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,0,3,0,40.5,14.5,2.740840023925201,0,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,0,3,0,30.0,7.3125,2.117760405981973,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
156,0,1,0,51.0,61.3792,4.133231886474144,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1,3,1,16.0,7.7333,2.167143305297764,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
158,0,3,0,30.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,0,3,0,30.0,8.6625,2.2682524139135403,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
160,0,3,0,3.5,69.55,4.256321678298823,8,2,11,2,0,0,11,1,0,0,0,0,0,0,0,0,0,1,1,0,0
161,0,3,0,44.0,16.1,2.8390784635086144,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,1,2,1,40.0,15.75,2.8183982582710754,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
163,0,3,0,26.0,7.775,2.1719067693519296,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,0,3,0,17.0,8.6625,2.2682524139135403,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,0,3,0,1.0,39.6875,3.705920919968788,4,1,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0
166,1,3,0,9.0,20.525,3.0692150503137943,0,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
167,1,1,1,35.0,55.0,4.02535169073515,0,1,2,1,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1
168,0,3,1,45.0,27.9,3.3638415951183864,1,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
169,0,1,0,30.0,25.925,3.2930552230424524,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
170,0,3,0,28.0,56.4958,4.05171190165724,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,0,1,0,61.0,33.5,3.5409593240373143,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
172,0,3,0,4.0,29.125,3.405355391810819,4,1,6,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0
173,1,3,1,1.0,11.1333,2.495953738718064,1,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0
174,0,3,0,21.0,7.925,2.188856327665703,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,0,1,0,56.0,30.6958,3.4561841799918147,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
176,0,3,0,18.0,7.8542,2.180891922715322,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
177,0,3,0,3.5,25.4667,3.275887339030031,3,1,5,2,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0
178,0,1,1,50.0,28.7125,3.391567832686312,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
179,0,2,0,30.0,13.0,2.6390573296152584,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,0,3,0,36.0,0.0,0.0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181,0,3,1,21.0,69.55,4.256321678298823,8,2,11,2,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,1,0
182,0,2,0,30.0,15.05,2.775708849576025,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,3,0,9.0,31.3875,3.4777725458882283,4,2,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0
184,1,2,0,1.0,39.0,3.688879454113936,2,1,4,1,0,1,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0
185,1,3,1,4.0,22.025,3.1365805821413706,0,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0
186,0,1,0,30.0,50.0,3.9318256327243257,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
187,1,3,1,35.0,15.5,2.803360380906535,1,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
188,1,1,0,45.0,26.55,3.3160025355989236,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189,0,3,0,40.0,15.5,2.803360380906535,1,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,0,3,0,36.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
191,1,2,1,32.0,13.0,2.6390573296152584,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
192,0,2,0,19.0,13.0,2.6390573296152584,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,1,3,1,19.0,7.8542,2.180891922715322,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
194,1,2,0,3.0,26.0,3.295836866004329,1,1,3,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0
195,1,1,1,44.0,27.7208,3.357621598945279,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
196,1,1,1,58.0,146.5208,4.993969182787072,0,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
197,0,3,0,30.0,7.75,2.169053700369523,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
198,0,3,0,42.0,8.4042,2.2411563979973974,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,1,3,1,21.0,7.75,2.169053700369523,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
200,0,2,1,24.0,13.0,2.6390573296152584,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
201,0,3,0,28.0,9.5,2.3513752571634776,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,0,3,0,30.0,69.55,4.256321678298823,8,2,11,2,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0
203,0,3,0,34.0,6.4958,2.0143428636837015,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,0,3,0,45.5,7.225,2.1071782966514356,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
